Dish.ID,Species,1,6,9,12,14,16,19,21,23,26,30,34,37,41,43,Length,Temperature,Moisture,Replicate,Start.Seeds,End.Seeds,Moldy,Empty,Viable,Starting.viable.count,Total.germinated
73,FH,0,3,3,5,0,0,1,0,0,0,0,0,0,0,0,5M,DF,PO,3,18,6,1,4,1,12,12
74,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PO,3,18,18,10,4,4,4,0
74,FH,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,3M,MF,PO,3,18,10,2,5,3,11,8
75,FC,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3M,DF,NS,1,18,16,2,7,7,9,2
75,FH,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,3M,DF,NS,1,18,12,0,5,7,13,6
76,FC,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PO,1,18,16,4,7,5,7,2
76,FH,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,5M,MF,PO,1,18,11,2,6,3,10,7
77,FC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5M,DF,PO,1,18,17,3,5,9,10,1
77,FH,0,1,5,2,0,0,0,1,0,0,0,0,0,0,0,5M,DF,PO,1,18,9,0,6,3,12,9
78,FC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3M,MF,PO,2,18,16,5,5,6,8,2
78,FH,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,3M,MF,PO,2,18,7,0,2,5,16,11
79,FC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5M,MF,NS,3,18,17,1,9,7,8,1
79,FH,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,5M,MF,NS,3,18,11,3,2,6,13,7
80,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,RT,PR,1,18,18,9,5,4,4,0
80,FH,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,3M,RT,PR,1,18,11,2,4,5,12,7
81,FC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5M,FR,PO,2,18,17,9,4,4,5,1
81,FH,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,5M,FR,PO,2,18,7,1,4,2,13,11
82,FC,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5M,MF,PR,2,18,15,9,3,3,6,3
82,FH,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PR,2,18,13,0,7,6,11,5
83,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,FR,PR,2,18,18,8,6,4,4,0
83,FH,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,5M,FR,PR,2,18,8,0,6,2,12,10
84,FC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1M,MF,PO,3,18,16,5,5,6,8,2
84,FH,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,1M,MF,PO,3,18,10,2,4,4,12,8
85,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1M,FR,NS,3,18,17,5,5,7,8,1
85,FH,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,1M,FR,NS,3,18,8,1,5,2,12,10
86,FC,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1M,FR,PR,1,18,16,2,6,8,10,2
86,FH,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1M,FR,PR,1,18,13,0,5,8,13,5
87,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,RT,PR,2,18,18,0,10,8,8,0
87,FH,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1M,RT,PR,2,18,10,0,4,6,14,8
88,FC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,NS,2,18,17,6,4,7,8,1
88,FH,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,3M,DF,NS,2,18,4,0,4,NA,14,14
89,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,RT,PR,1,18,18,13,5,NA,0,0
89,FH,0,0,3,4,1,0,2,0,0,0,0,0,0,0,0,5M,RT,PR,1,18,8,2,2,4,14,10
90,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,FR,PR,3,18,18,5,9,4,4,0
90,FH,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,5M,FR,PR,3,18,10,2,4,4,12,8
91,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,DF,NS,2,18,18,8,4,6,6,0
91,FH,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,5M,DF,NS,2,18,10,2,5,3,11,8
92,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,DF,NS,3,18,18,3,9,6,6,0
92,FH,0,0,6,2,0,0,2,0,0,0,1,0,0,0,0,5M,DF,NS,3,18,7,0,2,5,16,11
93,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,RT,NS,2,18,18,4,5,9,9,0
93,FH,0,1,4,1,0,1,1,0,1,0,0,0,0,0,0,C,RT,NS,2,18,9,0,4,5,14,9
94,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,MF,NS,1,18,18,5,3,10,10,0
94,FH,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,3M,MF,NS,1,18,9,3,5,1,10,9
95,FC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PR,1,18,17,1,8,8,9,1
95,FH,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PR,1,18,13,3,4,6,11,5
96,FC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,RT,PO,3,18,17,5,1,11,12,1
96,FH,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,C,RT,PO,3,18,3,1,1,1,16,15
